concept_key,concept_description,rank,planning_area,primary_metric,primary_value,criteria_used,criteria_snapshot,kmeans_cluster,cluster_label,cluster_description,cluster_assignment_method,recommendation_summary,total_footfall,competitor_count,rent_proxy_psm,low_income_ratio,mid_income_ratio,high_income_ratio,primary_demographic,primary_demographic_share
affordable_everyday_meal,Affordable everyday dining,1,WOODLANDS,log_footfall,16.877,"log_footfall, low_income_ratio, mid_income_ratio, hawker_stall_count_ratio, mean_price_mid",log_footfall=16.877; low_income_ratio=0.207; mid_income_ratio=0.420; hawker_stall_count_ratio=0.388; mean_price_mid=9.172,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for an affordable everyday dining and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",21356172,206,131.97,0.207,0.42,0.374,Mid-Age Adults,0.304
affordable_everyday_meal,Affordable everyday dining,2,BEDOK,log_footfall,16.674,"log_footfall, low_income_ratio, mid_income_ratio, hawker_stall_count_ratio, mean_price_mid",log_footfall=16.674; low_income_ratio=0.226; mid_income_ratio=0.309; hawker_stall_count_ratio=0.161; mean_price_mid=13.390,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for an affordable everyday dining and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",17435585,409,226.14,0.226,0.309,0.465,Mid-Age Adults,0.283
affordable_everyday_meal,Affordable everyday dining,3,BUKIT MERAH,log_footfall,16.612,"log_footfall, low_income_ratio, mid_income_ratio, hawker_stall_count_ratio, mean_price_mid",log_footfall=16.612; low_income_ratio=0.284; mid_income_ratio=0.274; hawker_stall_count_ratio=0.395; mean_price_mid=13.536,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for an affordable everyday dining and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",16390155,403,286.56,0.284,0.274,0.442,Mid-Age Adults,0.297
affordable_everyday_meal,Affordable everyday dining,4,GEYLANG,log_footfall,16.496,"log_footfall, low_income_ratio, mid_income_ratio, hawker_stall_count_ratio, mean_price_mid",log_footfall=16.496; low_income_ratio=0.267; mid_income_ratio=0.337; hawker_stall_count_ratio=0.223; mean_price_mid=13.368,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for an affordable everyday dining and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",14594907,485,128.86,0.267,0.337,0.396,Mid-Age Adults,0.288
affordable_everyday_meal,Affordable everyday dining,5,YISHUN,log_footfall,16.476,"log_footfall, low_income_ratio, mid_income_ratio, hawker_stall_count_ratio, mean_price_mid",log_footfall=16.476; low_income_ratio=0.237; mid_income_ratio=0.395; hawker_stall_count_ratio=0.157; mean_price_mid=12.365,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for an affordable everyday dining and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",14304556,166,97.14,0.237,0.395,0.368,Mid-Age Adults,0.295
premium_cafe,Premium cafe / specialty cafe,1,TANGLIN,mean_price_mid,50.667,"mean_price_mid, high_income_ratio, unique_category_count, mean_rating",mean_price_mid=50.667; high_income_ratio=0.810; unique_category_count=36.000; mean_rating=4.357,2,Premium Central / Lifestyle,"supports higher price points, stronger ratings, and greater category diversity.",fit,"This area is shortlisted for a premium cafe / specialty cafe and belongs to the Premium Central / Lifestyle cluster, which supports higher price points, stronger ratings, and greater category diversity.",2359005,68,42.59,0.058,0.132,0.81,Mid-Age Adults,0.347
premium_cafe,Premium cafe / specialty cafe,2,RIVER VALLEY,mean_price_mid,48.559,"mean_price_mid, high_income_ratio, unique_category_count, mean_rating",mean_price_mid=48.559; high_income_ratio=0.776; unique_category_count=21.000; mean_rating=4.463,2,Premium Central / Lifestyle,"supports higher price points, stronger ratings, and greater category diversity.",fit,"This area is shortlisted for a premium cafe / specialty cafe and belongs to the Premium Central / Lifestyle cluster, which supports higher price points, stronger ratings, and greater category diversity.",328637,27,44.24,0.083,0.14,0.776,Mid-Age Adults,0.384
premium_cafe,Premium cafe / specialty cafe,3,OUTRAM,mean_price_mid,42.372,"mean_price_mid, high_income_ratio, unique_category_count, mean_rating",mean_price_mid=42.372; high_income_ratio=0.387; unique_category_count=76.000; mean_rating=4.459,2,Premium Central / Lifestyle,"supports higher price points, stronger ratings, and greater category diversity.",fit,"This area is shortlisted for a premium cafe / specialty cafe and belongs to the Premium Central / Lifestyle cluster, which supports higher price points, stronger ratings, and greater category diversity.",4332449,323,60.02,0.359,0.254,0.387,Mid-Age Adults,0.295
premium_cafe,Premium cafe / specialty cafe,4,DOWNTOWN CORE,mean_price_mid,33.6,"mean_price_mid, high_income_ratio, unique_category_count, mean_rating",mean_price_mid=33.600; high_income_ratio=0.740; unique_category_count=117.000; mean_rating=4.309,2,Premium Central / Lifestyle,"supports higher price points, stronger ratings, and greater category diversity.",fit,"This area is shortlisted for a premium cafe / specialty cafe and belongs to the Premium Central / Lifestyle cluster, which supports higher price points, stronger ratings, and greater category diversity.",15722045,760,211.15,0.073,0.187,0.74,Mid-Age Adults,0.407
premium_cafe,Premium cafe / specialty cafe,5,BUKIT TIMAH,mean_price_mid,15.242,"mean_price_mid, high_income_ratio, unique_category_count, mean_rating",mean_price_mid=15.242; high_income_ratio=0.775; unique_category_count=54.000; mean_rating=4.298,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for a premium cafe / specialty cafe and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",6448367,180,102.65,0.071,0.154,0.775,Mid-Age Adults,0.3
family_casual_dining,Family-oriented casual dining,1,WOODLANDS,mid_income_ratio,0.42,"children_ratio, mid_age_adults_ratio, weekend_ratio, mid_income_ratio, mean_price_mid, log_competitor_count",children_ratio=0.151; mid_age_adults_ratio=0.304; weekend_ratio=0.299; mid_income_ratio=0.420; mean_price_mid=9.172; log_competitor_count=5.333,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for a family-oriented casual dining and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",21356172,206,131.97,0.207,0.42,0.374,Mid-Age Adults,0.304
family_casual_dining,Family-oriented casual dining,2,JURONG WEST,mid_income_ratio,0.395,"children_ratio, mid_age_adults_ratio, weekend_ratio, mid_income_ratio, mean_price_mid, log_competitor_count",children_ratio=0.147; mid_age_adults_ratio=0.313; weekend_ratio=0.291; mid_income_ratio=0.395; mean_price_mid=10.714; log_competitor_count=5.231,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for a family-oriented casual dining and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",18176818,186,154.04,0.192,0.395,0.413,Mid-Age Adults,0.313
family_casual_dining,Family-oriented casual dining,3,YISHUN,mid_income_ratio,0.395,"children_ratio, mid_age_adults_ratio, weekend_ratio, mid_income_ratio, mean_price_mid, log_competitor_count",children_ratio=0.154; mid_age_adults_ratio=0.295; weekend_ratio=0.297; mid_income_ratio=0.395; mean_price_mid=12.365; log_competitor_count=5.118,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for a family-oriented casual dining and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",14304556,166,97.14,0.237,0.395,0.368,Mid-Age Adults,0.295
family_casual_dining,Family-oriented casual dining,4,SEMBAWANG,mid_income_ratio,0.382,"children_ratio, mid_age_adults_ratio, weekend_ratio, mid_income_ratio, mean_price_mid, log_competitor_count",children_ratio=0.180; mid_age_adults_ratio=0.326; weekend_ratio=0.292; mid_income_ratio=0.382; mean_price_mid=11.301; log_competitor_count=4.727,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for a family-oriented casual dining and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",7304522,112,97.14,0.189,0.382,0.429,Mid-Age Adults,0.326
family_casual_dining,Family-oriented casual dining,5,JURONG EAST,mid_income_ratio,0.378,"children_ratio, mid_age_adults_ratio, weekend_ratio, mid_income_ratio, mean_price_mid, log_competitor_count",children_ratio=0.114; mid_age_adults_ratio=0.277; weekend_ratio=0.314; mid_income_ratio=0.378; mean_price_mid=13.871; log_competitor_count=5.226,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for a family-oriented casual dining and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",9792613,185,116.36,0.229,0.378,0.392,Mid-Age Adults,0.277
local_cuisine,Local cuisine / traditional favorites,1,NEWTON,hawker_stall_count_ratio,0.549,"chinese_count_ratio, indian_count_ratio, hawker_stall_count_ratio, cafe_count_ratio",chinese_count_ratio=0.020; indian_count_ratio=0.020; hawker_stall_count_ratio=0.549; cafe_count_ratio=0.000,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for a local cuisine / traditional favorites and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",3535836,51,44.24,,,,Mid-Age Adults,0.352
local_cuisine,Local cuisine / traditional favorites,2,BUKIT MERAH,hawker_stall_count_ratio,0.395,"chinese_count_ratio, indian_count_ratio, hawker_stall_count_ratio, cafe_count_ratio",chinese_count_ratio=0.055; indian_count_ratio=0.007; hawker_stall_count_ratio=0.395; cafe_count_ratio=0.032,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for a local cuisine / traditional favorites and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",16390155,403,286.56,0.284,0.274,0.442,Mid-Age Adults,0.297
local_cuisine,Local cuisine / traditional favorites,3,WOODLANDS,hawker_stall_count_ratio,0.388,"chinese_count_ratio, indian_count_ratio, hawker_stall_count_ratio, cafe_count_ratio",chinese_count_ratio=0.029; indian_count_ratio=0.019; hawker_stall_count_ratio=0.388; cafe_count_ratio=0.010,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for a local cuisine / traditional favorites and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",21356172,206,131.97,0.207,0.42,0.374,Mid-Age Adults,0.304
local_cuisine,Local cuisine / traditional favorites,4,JURONG WEST,hawker_stall_count_ratio,0.387,"chinese_count_ratio, indian_count_ratio, hawker_stall_count_ratio, cafe_count_ratio",chinese_count_ratio=0.054; indian_count_ratio=0.005; hawker_stall_count_ratio=0.387; cafe_count_ratio=0.000,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for a local cuisine / traditional favorites and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",18176818,186,154.04,0.192,0.395,0.413,Mid-Age Adults,0.313
local_cuisine,Local cuisine / traditional favorites,5,KALLANG,hawker_stall_count_ratio,0.334,"chinese_count_ratio, indian_count_ratio, hawker_stall_count_ratio, cafe_count_ratio",chinese_count_ratio=0.082; indian_count_ratio=0.020; hawker_stall_count_ratio=0.334; cafe_count_ratio=0.031,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for a local cuisine / traditional favorites and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",7519794,452,99.84,0.275,0.289,0.436,Mid-Age Adults,0.302
fast_food_grab_go,Fast-food / grab-and-go concept,1,WOODLANDS,log_footfall,16.877,"log_footfall, weekday_ratio, fast_food_count_ratio, teens_youth_ratio, mean_price_mid",log_footfall=16.877; weekday_ratio=0.701; fast_food_count_ratio=0.039; teens_youth_ratio=0.151; mean_price_mid=9.172,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for a fast-food / grab-and-go concept and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",21356172,206,131.97,0.207,0.42,0.374,Mid-Age Adults,0.304
fast_food_grab_go,Fast-food / grab-and-go concept,2,TAMPINES,log_footfall,16.794,"log_footfall, weekday_ratio, fast_food_count_ratio, teens_youth_ratio, mean_price_mid",log_footfall=16.794; weekday_ratio=0.720; fast_food_count_ratio=0.013; teens_youth_ratio=0.119; mean_price_mid=13.105,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for a fast-food / grab-and-go concept and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",19665357,229,111.17,0.188,0.35,0.462,Mid-Age Adults,0.272
fast_food_grab_go,Fast-food / grab-and-go concept,3,JURONG WEST,log_footfall,16.716,"log_footfall, weekday_ratio, fast_food_count_ratio, teens_youth_ratio, mean_price_mid",log_footfall=16.716; weekday_ratio=0.709; fast_food_count_ratio=0.032; teens_youth_ratio=0.128; mean_price_mid=10.714,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for a fast-food / grab-and-go concept and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",18176818,186,154.04,0.192,0.395,0.413,Mid-Age Adults,0.313
fast_food_grab_go,Fast-food / grab-and-go concept,4,DOWNTOWN CORE,log_footfall,16.571,"log_footfall, weekday_ratio, fast_food_count_ratio, teens_youth_ratio, mean_price_mid",log_footfall=16.571; weekday_ratio=0.722; fast_food_count_ratio=0.009; teens_youth_ratio=0.062; mean_price_mid=33.600,2,Premium Central / Lifestyle,"supports higher price points, stronger ratings, and greater category diversity.",fit,"This area is shortlisted for a fast-food / grab-and-go concept and belongs to the Premium Central / Lifestyle cluster, which supports higher price points, stronger ratings, and greater category diversity.",15722045,760,211.15,0.073,0.187,0.74,Mid-Age Adults,0.407
fast_food_grab_go,Fast-food / grab-and-go concept,5,TOA PAYOH,log_footfall,16.393,"log_footfall, weekday_ratio, fast_food_count_ratio, teens_youth_ratio, mean_price_mid",log_footfall=16.393; weekday_ratio=0.719; fast_food_count_ratio=0.049; teens_youth_ratio=0.096; mean_price_mid=10.671,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for a fast-food / grab-and-go concept and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",13163275,488,115.66,0.251,0.322,0.427,Mid-Age Adults,0.286
